Title	Artist	Label	Year
John Williams And Friends	John Williams (7)	Columbia Masterworks	1976
Gurre-Lieder	Pierre Boulez	Columbia Masterworks	1975
The Best Of John Williams	John Williams (7)	Columbia Masterworks	1974
A Survivor From Warsaw / Kol Nidre / Second Chamber Symphony	Arnold Schoenberg	Columbia Masterworks	1953
Bach Organ Music Volume IV	Johann Sebastian Bach	Columbia Masterworks	0
Le Marteau Sans Maître / Nr. 5 Zeitmasse For Five Woodwinds	Pierre Boulez	Columbia Masterworks	1958
Music Of Edgar Varèse	Edgard Varèse	Columbia Masterworks	1960
Clair De Lune:  A Debussy Piano Recital By Philippe Entremont	Claude Debussy	Columbia Masterworks	1960
The Art Of The Fugue, Volume 1 (First Half) Fugues 1-9	Johann Sebastian Bach	Columbia Masterworks	1962
Organ Symphony (No. 3 In C Minor, Op. 78)	Camille Saint-Saëns	Columbia Masterworks	1963
Virtuoso Music For Guitar	John Williams (7)	Columbia Masterworks	1965
William Tell And Other Favorite Overtures	Leonard Bernstein	Columbia Masterworks	1965
The 17 Festival Sonatas For Organ And Orchestra	E. Power Biggs	Columbia Masterworks	1966
Bernstein Conducts Bartok	Béla Bartók	Columbia Masterworks	1967
New Electronic Music From Leaders Of The Avant-Garde	John Cage	Columbia Masterworks	1967
Paganini: Guitar Trio - Haydn: Guitar Quartet	John Williams (7)	Columbia Masterworks	0
Three Pieces For Orchestra / Chamber Concerto / Altenberg Lieder, Op. 4	Pierre Boulez	Columbia Masterworks	0
Variations For Orchestra / Double Concerto	Elliott Carter	Columbia Masterworks	0
Switched-On Bach	Walter Carlos	Columbia Masterworks	1970
The Well-Tempered Synthesizer	Walter Carlos	Columbia Masterworks	1969
Bach Organ Favorites, Vol. 4	E. Power Biggs	Columbia Masterworks	1970
Symphony Of Three Orchestras /  A Mirror On Which To Dwell 	Elliott Carter	Columbia Masterworks	1980
The Wooden Prince [Complete Ballet]	Pierre Boulez	Columbia Masterworks	1977
La Péri (Complete Ballet) / Symphony No. 3	Pierre Boulez	Columbia Masterworks	1976
A Rainbow In Curved Air	Terry Riley	Columbia Masterworks	2009
Hollywood Serenade	Percy Faith & His Orchestra	Columbia Musical Treasuries	0
Sessions : Piano Sonata No. 1 / Mayer : Piano Sonata	Roger Sessions	Composers Recordings Inc. (CRI)	1961
Trombone Concerto/Contra Mortem Et Tempus/Janissary Music	Robert Parris	Composers Recordings Inc. (CRI)	1968
Instrumental Music: Crasis, Gravities, Spectra, Chöd	Richard Felciano	Composers Recordings Inc. (CRI)	1976
Chamber Concerto For Flute And Ten Players / Concerto For Wind Quintet	Charles Wuorinen	Composers Recordings Inc. (CRI)	0
Three Song Cycles	David Del Tredici	Composers Recordings Inc. (CRI)	0
Mr. And Mrs. Discobbolos / Concatenations, Exigencies / Music For Violin And Cello	Peter Westergaard	Composers Recordings Inc. (CRI)	1971
Dorian Quintet Plays Fennelly, Moss, Stearns	Dorian Quintet	Composers Recordings Inc. (CRI)	1974
Evanescences / String Quartet	Brian Fennelly	Composers Recordings Inc. (CRI)	1974
Music Of Otto Luening	Otto Luening	Composers Recordings Inc. (CRI)	1975
Microtonal Music: String Quartet No. 2 (1962) / Elegie - Nach Rilke	Ezra Sims	Composers Recordings Inc. (CRI)	1978
Sonorous Reflections (Seven Set Pieces For 13 Players / Das Lied)	Francis Thorne	Composers Recordings Inc. (CRI)	1978
Caprices On The Name Schönberg	Noël Lee	Composers Recordings Inc. (CRI)	1979
Chamber Concerto For Tuba • Dialectic • Music For Ten Stringed Instruments	Charles Wuorinen	Composers Recordings Inc. (CRI)	1983
