Title	Artist	Label	Year
My Favorite Spanish Encores	Andrés Segovia	RCA Red Seal	1974
The Intimate Guitar	Andrés Segovia	RCA Red Seal	1975
Julian Bream And Friends	Julian Bream	RCA Red Seal	0
The Best Of Mario Lanza Volume 2	Mario Lanza	RCA Red Seal	1968
Epifanie And Folk Songs	Luciano Berio	RCA Red Seal	1971
Burgers And Fries.  When I Stop Leaving (I'll Be Gone)	Charley Pride	RCA Victor	1978
Without Her	Jack Jones	RCA Victor	1969
The Student Prince	Mario Lanza	RCA Victor Red Seal	1960
Baroque Guitar	Julian Bream	RCA Victor Red Seal	1966
Lute Music From The Royal Courts Of Europe	Julian Bream	RCA Victor Red Seal	1966
Piano Concerto / As Quiet As	Elliott Carter	RCA Victor Red Seal	1968
Masters Of The Guitar, Vol. 1	Ida Presti	RCA Victor Red Seal	1964
The Best Of Mario Lanza	Mario Lanza	RCA Victor Red Seal	1964
Windsong	John Denver	RCA	1975
Le Trièdre Fertile	Pierre Schaeffer	Recollection GRM	2012
Granulations-Sillages / Franges Du Signe	Guy Reibel	Recollection GRM	2012
L'Œil Écoute / Dedans-Dehors	Bernard Parmegiani	Recollection GRM	2012
Traces One	Various	Recollection GRM	2012
Presque Rien	Luc Ferrari	Recollection GRM	2012
Triola Ou Symphonie Pour Moi-Même	Ivo Malec	Recollection GRM	2012
GRM Works 1957-1962	Iannis Xenakis	Recollection GRM	2013
Traces Two	Various	Recollection GRM	2013
De Natura Sonorum	Bernard Parmegiani	Recollection GRM	2013
L'Expérience Acoustique	François Bayle	Recollection GRM	2013
Music From Computer	Jean-Claude Risset	Recollection GRM	2014
Traces Three	Various	Recollection GRM	2014
Pacific Tubular Waves / Immersion	Michel Redolfi	Recollection GRM	2015
GRM Works	Beatriz Ferreyra	Recollection GRM	2015
Erda / Suite N	Jean Schwarz	Recollection GRM	2016
Hétérozygote / Petite Symphonie...	Luc Ferrari	Recollection GRM	2017
Rejuvenation	The Meters	Reprise Records	1974
…And Shiva Came For Charlie	Various	Ri Be Xibalba	2008
Roman Guitar	Al Caiola	Roulette	1968
New Secret	Can't	RRRecords	2005
The 7" That Fucks Like A 12"	The Earwigs	RRRecords	2007
Self Esteem	Halflings	RRRecords	2009
RRR-1000 Lock Grooves	Various	RRRecords	2009
Revival Of The Wretch	Clang Quartet	RRRecords	2007
Future With No Chance	Jason Crumer	RRRecords	2007
FRKWYS, Vol. 6	Julianna Barwick	Rvng Intl.	2011
Imperfection Of The Organism	Panicsville	Scratch And Sniff Entertainment	2003
Crippled Sloth	Cotton Museum	Scratch And Sniff Entertainment	2004
Music Of Group Ongaku	Group Ongaku	Seer Sound Archive	2011
Demon Seed	Scuba Death	Semata Productions	2011
Sylvia Marlowe Plays Harpsichord Music Of The 20th Century	Sylvia Marlowe	Serenus	1974
Fleeing From The City	Yabby You	Shanachie	1985
Going To The Chapel	Yellowman	Shanachie	1986
Don't Burn It Down	Yellowman	Shanachie	1988
Carrion Hut	Dylan Nyoukis	Singing Knives	2011
Tplay,1:5	Snd	Snd	2014
Travelog	Snd	Snd	2014
Newtables	Snd	Snd	2014
The Age Of Aquarius	The Fifth Dimension	Soul City (2)	1969
The Long Awaited Mega EP	Specs One	soultheft records	2005
The Impossible Humane	Mixed Band Philanthropist	Staubgold	2014
Codiaeum Variegatum	Anne Guthrie	Students Of Decay	2014
At The Grass Roots Of Dub	King Tubby	Studio 16	0
An Anthology Of Noise & Electronic Music / Third A-Chronology 1952-2004	Various	Sub Rosa	2016
An Anthology Of Noise & Electronic Music / First A-Chronology Volume #1	Various	Sub Rosa	2009
Break Through In Grey Room	William S. Burroughs	Sub Rosa	2013
An Anthology Of Noise & Electronic Music / Second A-Chronology Volume 2	Various	Sub Rosa	2010
Filters, Oscillators & Envelopes 1967-75	Don Preston	Sub Rosa	2012
Electronic Works & Voices 1961-1979	Leo Küpper	Sub Rosa	2013
Programme Commun	Luc Ferrari	Sub Rosa	2013
New York Electronic, 1965	Angus MacLise	Sub Rosa	2014
Film Scores	Lori Goldston	Sub Rosa	2013
Early Electronic And Tape Music	John Cage	Sub Rosa	2014
Les Couleurs De La Nuit	François Bayle	Sub Rosa	2013
Analog and Digital Electronic Music 1978-80	André Stordeur	Sub Rosa	2015
Electronic Explorations From His Studio + BBC Radiophonic Workshop 1958-1967	Roberto Gerhard	Sub Rosa	2014
Red Bird: A Political Prisoner's Dream	Trevor Wishart	Sub Rosa	2015
Early Experimental Electronic Music 1954-72	Henri Pousseur	Sub Rosa	2016
Desert Tracks	Michel Redolfi	Sub Rosa	2016
Analog And Digital Electronic Music #2 1980-2000 	André Stordeur	Sub Rosa	2016
Tinguely 1967	Luc Ferrari	Sub Rosa	2017
Electronic Music 1960-1973	Bülent Arel	Sub Rosa	2017
Broken Hearted Dragonflies	Tucker Martine	Sublime Frequencies	2013
Material	Emptyset	Subtext	2013
Call Me Burroughs	William S. Burroughs	Superior Viaduct	2016
Hard Time Empty Bottle Blues (1-4)	John Fahey	Table Of The Elements	2003
GGA	John Wiese	Teenage Teardrops	2011
Tortoise	Tortoise	Thrill Jockey	1994
O	Oval	Thrill Jockey	2010
Millions Now Living Will Never Die	Tortoise	Thrill Jockey	1996
The Best Of Lightnin' Hopkins	Lightnin' Hopkins	Tradition Everest	1973
Cry Tuff Dub Encounter Chapter IV	Prince Far I & The Arabs	Trojan Records	1981
Bach Organ Works	Anthony Newman	Turnabout	1976
The Goldberg Variations	Johann Sebastian Bach	Turnabout	1966
Electronic Music	John Cage	Turnabout	1967
Le Marteau Sans Maître	Pierre Boulez	Turnabout	1964
A Timid Soul's Approach To Bartok	Béla Bartók	Turnabout	1967
Pierrot Lunaire, Opus 21	Arnold Schoenberg	Turnabout	0
Madrigals	George Crumb	Turnabout	1973
Verklärte Nacht / Lyric Suite	Ramor Quartet	Turnabout	1979
Lyric Suite  For String Quartet / String Quartet, Op. 3	Alban Berg	Turnabout	1965
Modern French Organ Music	André Isoir	Turnabout	0
More Fun Than An Open Casket Funeral	The Accüsed	Unrest Records	2011
Electronic Music From The Seventies And Eighties	Carl Stone	Unseen Worlds	2016
Concertino, Mladi ("Youth"), In The Mist	Leoš Janáček	Vanguard	0
Versions	Vote Robot	Vegas p	1999
Here And Now	Richard Pryor	Warner Bros. Records	1983
Grateful Dead	The Grateful Dead	Warner Bros. Records	0
One In A Million You	Larry Graham	Warner Bros. Records	1980
Workingman's Dead	The Grateful Dead	Warner Bros. Records	1975
Tri Repetae	Autechre	Warp Records	2016
Sor: 20 Studies For Guitar	John Williams (7)	Westminster Gold	1970
Love Is Hard	Honey (38)	Wharf Cat Records	2016
Java	Jim Collier (3)	Wyncote	1964
The Oram Tapes: Volume One	Daphne Oram	Young Americans	2011
